"","childs","degree","educ","sei","suicide","divorce"
"1562",3,1,12," ",NA,0
"1563",0,1,13,"31,5",0,0
"1564",0,2,14,"38,4",1,0
"1565",1,1,12,"63,5",NA,0
"1566",3,3,13,"56,6",NA,0
"1567",1,2,14,"36,5",0,1
"1568",0,1,16,"37,7",1,NA
"1569",0,3,19,"73,2",1,NA
"1570",2,1,14,"38,4",NA,0
"1571",0,1,15,"38,9",1,1
"1572",3,0,7,"20,1",0,0
"1573",3,0,11,"20,1",0,1
"1574",4,3,16,"46,3",0,0
"1575",2,0,12,"26,5",NA,1
"1576",3,1,12,"25,2",NA,0
"1577",2,1,14,"49,4",1,NA
"1578",0,1,13,"38,4",0,0
"1579",5,1,13,"38,1",NA,1
"1580",3,0,9,"31,5",0,0
"1581",1,2,13,"48,5",1,NA
"1582",2,1,14,"29,2",0,NA
"1583",1,1,12,"57,1",NA,NA
"1584",2,3,16,"63,5",1,0
"1585",4,4,18,"63,5",1,0
"1586",2,4,20,"87",1,NA
"1587",4,3,17,"63,5",NA,0
"1588",3,3,18,"59",1,0
"1589",2,1,14,"49,6",1,0
"1590",0,1,12,"63,5",0,1
"1591",0,3,17,"63,5",1,NA
"1592",2,1,20,"63,5",NA,NA
"1593",3,1,13," ",NA,1
"1594",1,3,16,"90",1,NA
"1595",2,3,16,"78,5",1,1
"1596",0,1,15,"76,4",1,NA
"1597",0,1,12,"33,6",1,NA
"1598",1,1,12,"50,7",1,0
"1599",0,1,12,"26,4",NA,0
"1600",2,1,13,"29,8",NA,NA
"1601",1,1,12,"33,1",NA,NA
"1602",0,1,14,"86",0,0
"1603",1,2,13,"50,5",1,NA
"1604",2,3,17,"74,4",NA,NA
"1605",2,1,12,"29,2",0,NA
"1606",2,1,12,"37,4",NA,0
"1607",2,2,14,"43,6",1,0
"1608",2,1,12,"46,7",0,0
"1609",1,0,12,"38,9",NA,NA
"1610",3,1,13,"38,4",0,0
"1611",3,0,11,"43,4",0,0
"1612",0,2,16,"30,1",1,NA
"1613",3,1,10,"26,7",0,1
"1614",5,0,9,"30",NA,0
"1615",3,1,14,"61,4",1,0
"1616",0,3,16,"31,4",1,NA
"1617",2,1,12,"36,9",NA,0
"1618",3,4,20,"97,2",NA,0
"1619",3,1,14,"38,4",1,0
"1620",0,1,14,"32,3",1,NA
"1621",0,1,13,"48,9",1,NA
"1622",6,3,16,"74,9",NA,1
"1623",3,1,14,"56,5",0,0
"1624",4,3,16,"69,2",NA,0
"1625",0,1,14,"38",1,NA
"1626",3,1,14,"38",1,0
"1627",2,4,20,"97,2",1,0
"1628",1,1,12,"37,3",1,NA
"1629",0,1,12,"38,4",0,0
"1630",1,1,14,"50,7",1,1
"1631",0,3,16,"63,5",1,0
"1632",2,2,15,"74,4",0,1
"1633",1,0,12,"26,7",NA,1
"1634",2,2,14,"63,5",NA,1
"1635",2,1,13,"66,3",1,NA
"1636",0,4,17,"63,5",1,NA
"1637",2,1,12,"35,1",1,NA
"1638",0,2,14,"53,3",NA,NA
"1639",0,1,16,"84,7",0,NA
"1640",0,3,16,"65,8",NA,NA
"1641",2,1,12,"68,1",1,NA
"1642",1,1,15,"40",NA,0
"1643",0,4,19,"92,3",NA,NA
"1644",0,3,16,"50,7",NA,NA
"1645",0,3,16,"84,7",0,NA
"1646",0,3,16,"63,5",1,0
"1647",0,4,18,"62,5",1,0
"1648",1,3,16,"78,5",NA,0
"1649",2,1,12,"45,8",1,0
"1650",0,4,18,"62,5",1,NA
"1651",0,2,14,"65,2",1,NA
"1652",2,0,9,"45,4",1,0
"1653",0,1,15,"63,5",NA,0
"1654",5,1,12,"39,4",0,0
"1655",6,0,10,"27,5",NA,NA
"1656",2,1,14,"37,6",1,NA
"1657",2,1,16,"33,9",0,0
"1658",2,1,14,"74,4",NA,1
"1659",3,1,13,"54,7",1,1
"1660",6,3,16,"63,5",1,1
"1661",3,1,13,"37,6",1,NA
"1662",3,0,10,"27,5",0,1
"1663",4,0,9,"62,1",0,0
"1664",2,4,18,"80,3",NA,0
"1665",6,4,18,"64,4",1,NA
"1666",4,0,13,"38,1",0,NA
"1667",4,0,11,"25,2",0,NA
"1668",2,3,16,"83,7",NA,NA
"1669",3,1,15,"63,2",1,0
"1670",2,1,11,"80,3",NA,0
"1671",3,3,16,"78,5",0,0
"1672",4,1,16,"22,5",NA,0
"1673",0,1,12,"39",1,NA
"1674",4,1,12,"37,7",0,NA
"1675",0,3,18,"38,4",NA,NA
"1676",2,1,14,"28,4",NA,1
"1677",1,1,14,"63,2",1,0
"1678",2,1,14,"31,5",0,0
"1679",3,1,12,"29,3",0,NA
"1680",4,0,10,"21,2",NA,NA
"1681",8,0,8,"22,5",0,0
"1682",8,1,13,"31,5",0,NA
"1683",4,1,13,"34,6",0,NA
"1684",5,0,13," ",NA,NA
"1685",3,1,13,"78,5",NA,NA
"1686",3,1,11,"28,4",0,0
"1687",4,4,16,"69,2",0,1
"1688",5,0,11," ",NA,NA
"1689",1,1,12,"36,5",0,NA
"1690",4,1,13,"51,9",NA,0
"1691",2,0,9,"33,1",1,NA
"1692",0,0,10,"33,6",1,0
"1693",0,3,17,"63,2",1,NA
"1694",0,1,14,"35,4",NA,0
"1695",0,0,11,"33,2",0,NA
"1696",3,1,12,"63,5",1,1
"1697",1,0,12,"29,4",1,NA
"1698",3,1,14,"43,7",1,1
"1699",0,1,13,"86,5",NA,NA
"1700",5,0,7,"27,5",NA,NA
"1701",1,0,11,"29,8",NA,0
"1702",3,1,12,"37,7",1,0
"1703",1,1,13,"22,5",1,0
"1704",0,0,9," ",1,NA
"1705",2,2,13,"26,4",NA,0
"1706",2,1,12,"37,3",NA,0
"1707",0,1,12,"50,7",NA,NA
"1708",3,1,13,"29,3",NA,1
"1709",4,2,14,"31,5",0,NA
"1710",1,1,14,"62,1",1,1
"1711",2,2,15,"73,2",1,1
"1712",2,1,14,"36,9",0,0
"1713",7,1,14,"53,3",0,0
"1714",0,2,14,"63,5",NA,NA
"1715",0,1,13,"50,7",1,NA
"1716",3,1,14,"73,3",1,0
"1717",3,1,12,"63,5",NA,0
"1718",1,1,13,"40,2",NA,0
"1719",3,1,12,"45,3",0,0
"1720",1,0,6," ",NA,1
"1721",6,1,12,"63,5",0,NA
"1722",4,1,13,"38",NA,1
"1723",1,1,12,"50,7",1,NA
"1724",0,0,5,"29",1,1
"1725",2,1,12,"44,7",1,1
"1726",0,1,13,"53,4",1,NA
"1727",2,1,12,"74,4",0,NA
"1728",4,0,8,"29,2",NA,0
"1729",0,2,14,"69,7",0,0
"1730",0,1,12,"29,3",0,1
"1731",1,1,12,"37,3",1,NA
"1732",0,1,12,"28,6",NA,NA
"1733",4,0,8,"53,4",NA,NA
"1734",2,0,8,"44,7",0,NA
"1735",3,1,12,"52,3",NA,NA
"1736",0,1,13,"83,7",1,NA
"1737",2,0,9,"33,1",0,NA
"1738",6,0,9,"36,5",0,0
"1739",0,3,16,"73,6",1,NA
"1740",0,3,16,"73,7",0,0
"1741",2,1,12,"53,7",NA,0
"1742",2,1,12,"68,1",NA,NA
"1743",0,3,17,"62,5",1,NA
"1744",2,1,14,"74,4",NA,1
"1745",2,1,13,"83,7",1,NA
"1746",1,1,13," ",1,1
"1747",2,1,12,"39,4",1,1
"1748",4,1,14,"61,9",NA,1
"1749",2,1,12,"32,3",1,1
"1750",3,0,10,"63,5",0,0
"1751",2,1,12,"38,1",NA,NA
"1752",2,0,8,"61,1",1,NA
"1753",2,1,12,"29,2",1,NA
"1754",4,1,12,"28,4",0,1
"1755",0,1,13,"38,1",1,NA
"1756",0,0,10,"33,2",1,NA
"1757",0,1,12,"50,7",1,NA
"1758",2,1,13,"29,5",1,NA
"1759",0,1,14,"38,4",NA,0
"1760",2,0,10,"39",1,1
"1761",0,1,14,"29,2",NA,0
"1762",0,2,14,"61,4",NA,NA
"1763",0,1,NA,"32,4",1,0
"1764",4,1,13,"54,9",0,1
"1765",2,1,12,"40",1,NA
"1766",0,1,12,"38,9",NA,1
"1767",2,1,12,"38,9",1,NA
"1768",0,3,16,"76,4",0,0
"1769",1,3,16,"65,8",1,0
"1770",2,1,12,"38",1,1
"1771",2,4,18,"80,3",1,0
"1772",0,3,16,"87,9",1,0
"1773",1,1,12,"48,5",0,0
"1774",2,1,15,"61,9",0,1
"1775",3,1,15,"25,8",0,0
"1776",1,3,16,"73,6",NA,0
"1777",0,1,13,"32,7",NA,0
"1778",0,4,18,"48,5",1,NA
"1779",0,3,16,"51",1,1
"1780",2,1,12,"27,5",0,NA
"1781",1,1,12,"39,5",NA,NA
"1782",4,2,14,"27,5",NA,NA
"1783",0,4,18,"64,4",1,NA
"1784",0,3,16,"56,5",NA,NA
"1785",0,1,15,"67",0,NA
"1786",2,1,12,"37,3",NA,NA
"1787",2,1,12,"29,3",0,NA
"1788",3,1,12,"22,9",1,0
"1789",2,1,13," ",NA,NA
"1790",3,0,7,"31,5",0,NA
"1791",1,2,15,"64,1",NA,NA
"1792",2,1,12,"36,4",0,NA
"1793",2,1,13,"29,3",0,NA
"1794",4,0,12,"34,2",0,NA
"1795",6,0,11,"32,7",0,0
"1796",2,1,14,"33,1",NA,NA
"1797",3,0,10,"22,5",1,NA
"1798",1,1,13," ",1,NA
"1799",3,0,11," ",NA,NA
"1800",1,1,13,"30,7",1,NA
"1801",6,1,12,"27,5",0,0
"1802",3,1,12,"28,6",NA,0
"1803",4,3,16,"74,4",1,NA
"1804",3,0,8,"32",NA,1
"1805",1,1,13,"51",NA,NA
"1806",5,1,12,"31,5",1,1
"1807",2,1,12,"48,5",0,1
"1808",0,1,12,"34,2",1,NA
"1809",2,1,13,"48,5",0,0
"1810",0,1,12,"29,2",NA,0
"1811",4,4,18,"80,3",1,0
"1812",0,1,12,"38,9",NA,0
"1813",2,1,15,"29,2",1,1
"1814",4,1,12,"29,2",0,1
"1815",4,1,12,"27,7",NA,1
"1816",0,0,11,"36,5",1,NA
"1817",2,1,12,"31,5",NA,0
"1818",1,1,12,"37,3",NA,1
"1819",2,0,11,"17,6",0,1
"1820",3,1,12,"38,4",1,1
"1821",1,1,12,"37,3",NA,0
"1822",0,3,16,"57,1",1,NA
"1823",0,4,19,"66,1",1,NA
"1824",3,4,18,"28,6",1,1
"1825",1,1,14,"43,7",1,NA
"1826",3,0,8,"43,7",0,0
"1827",1,1,13,"36,5",1,NA
"1828",0,3,18,"78,5",0,NA
"1829",0,1,12,"32,3",NA,NA
"1830",4,1,12,"38,4",1,NA
"1831",3,1,14,"38,4",1,0
"1832",1,1,12,"33,1",NA,0
"1833",2,3,16,"80,3",1,0
"1834",0,1,15,"43,7",1,NA
"1835",1,1,14,"48,9",0,1
"1836",0,1,12,"53,9",0,NA
"1837",3,4,18,"96",0,0
"1838",0,1,12,"27,5",1,NA
"1839",2,2,15,"48,5",NA,NA
"1840",4,0,8,"48,9",NA,1
"1841",3,1,12,"38,4",0,0
"1842",2,4,18,"74,4",NA,NA
"1843",0,2,14,"38,4",0,NA
"1844",4,1,12,"37,3",1,0
"1845",3,1,15,"62,5",0,0
"1846",3,1,11,"50,7",1,0
"1847",2,1,12,"28,4",NA,1
"1848",2,1,12,"36,5",0,0
"1849",2,3,16,"97,2",NA,0
"1850",2,1,12,"43,7",NA,0
"1851",2,2,15,"36,5",NA,0
"1852",0,1,15,"73,2",1,1
"1853",5,2,16,"73,2",0,0
"1854",3,1,13,"37,7",1,NA
"1855",1,1,12,"63,5",NA,0
"1856",2,1,12,"63,5",NA,0
"1857",2,1,12,"36,5",1,0
"1858",5,1,10,"64,1",0,1
"1859",1,4,18,"55,1",NA,1
"1860",4,1,15,"31,5",1,1
"1861",4,0,11,"36,5",0,1
"1862",0,1,9,"63,5",NA,NA
"1863",3,1,12,"63,5",1,0
"1864",3,1,12,"32,3",0,1
